ID,Address,Latitude,Longitude,IsAStudio,Beds,Baths,Size,LotSize,LotSizeUnit,BuiltInYear,DateOfSale,SalePrice
15152280,"2127 24th St, San Francisco, CA",37753090,-122401105,False,,1.0,1345.0,,,1900.0,12/1/15,0.875
15152307,"1315-1317 Kansas St, San Francisco, CA",37752990,-122402141,False,,2.0,2520.0,1875.0,sqft,1924.0,12/15/15,1.14
15152389,"1251-1253 Hampshire St, San Francisco, CA",37752069,-122406936,False,,2.0,3020.0,2500.0,sqft,1925.0,12/11/15,0.68
15153012,"118 Jerrold Ave, San Francisco, CA",37728539,-122371160,False,3.0,2.0,1325.0,,,1989.0,11/24/15,0.8
15153517,"19 Rebecca Ln, San Francisco, CA",37737383,-122382397,False,2.0,2.0,1210.0,871.0,sqft,1992.0,11/23/15,0.61
15153559,"1314 Palou Ave, San Francisco, CA",37731189,-122385454,False,4.0,3.0,1275.0,2613.0,sqft,1941.0,11/17/15,0.78
15153617,"1087 Palou Ave, San Francisco, CA",37728354,-122381454,False,3.0,2.0,1452.0,1873.0,sqft,1900.0,2/11/16,0.43
15153741,"1371 Palou Ave, San Francisco, CA",37731344,-122386797,False,2.0,1.0,1000.0,2495.0,sqft,1900.0,11/16/15,0.003
15153753,"1311 Palou Ave, San Francisco, CA",37730765,-122385777,True,,,2645.0,4996.0,sqft,1923.0,1/11/16,0.875
15153811,"1386 Revere Ave, San Francisco, CA",37729593,-122385972,False,,1.0,1255.0,2495.0,sqft,1954.0,11/23/15,0.65
15153857,"1243 Quesada Ave, San Francisco, CA",37728318,-122383131,False,2.0,1.0,1250.0,2613.0,sqft,1927.0,1/4/16,0.61
15153995,"1480 Shafter Ave, San Francisco, CA",37729988,-122388333,False,2.0,1.0,952.0,2613.0,sqft,1926.0,12/15/15,0.5
15154015,"1401 Shafter Ave, San Francisco, CA",37728789,-122387291,False,2.0,2.0,1412.0,2613.0,sqft,1929.0,12/17/15,0.755
15154183,"1459-1461 Thomas Ave, San Francisco, CA",37728719,-122388835,False,6.0,3.0,1950.0,2500.0,sqft,1900.0,12/23/15,0.655
15154370,"1201 Egbert Ave, San Francisco, CA",37720438,-122389171,False,,1.0,1157.0,2000.0,sqft,1925.0,12/11/15,0.41
15154657,"884 Ingerson Ave, San Francisco, CA",37718050,-122390617,False,5.0,3.0,1789.0,2613.0,sqft,1964.0,2/4/16,0.85
15154660,"991 Hollister Ave, San Francisco, CA",37718354,-122390556,False,3.0,1.0,1062.0,2500.0,sqft,1917.0,11/25/15,0.525
15154832,"1027 Ingerson Ave, San Francisco, CA",37719206,-122393725,False,3.0,2.0,1430.0,2500.0,sqft,1929.0,11/13/15,0.375
15154997,"76 Jennings Ct, San Francisco, CA",37717061,-122397018,False,3.0,2.0,1212.0,,,1995.0,11/18/15,0.575
15155000,"1 Jennings Ct, San Francisco, CA",37717794,-122397510,False,3.0,2.0,1310.0,,,1995.0,1/14/16,0.74
15155751,"1546 Innes Ave, San Francisco, CA",37739068,-122387681,False,2.0,2.0,1629.0,2500.0,sqft,1938.0,11/10/15,0.665
15156203,"1448 Oakdale Ave, San Francisco, CA",37733196,-122387320,False,3.0,2.0,2066.0,2500.0,sqft,1910.0,12/4/15,0.86
15156278,"1783 Newcomb Ave, San Francisco, CA",37736956,-122393362,False,2.0,1.0,1385.0,2500.0,sqft,1925.0,12/17/15,0.68
15156378,"1740-1742 Palou Ave, San Francisco, CA",37735707,-122393424,False,,2.0,3073.0,2495.0,sqft,1950.0,12/30/15,0.18
15156497,"1455 Oakdale Ave, San Francisco, CA",37732869,-122387815,False,5.0,3.0,1594.0,2495.0,sqft,1964.0,1/12/16,0.935
15156520,"1497 Palou Ave, San Francisco, CA",37732644,-122389092,False,4.0,3.0,1750.0,2500.0,sqft,1977.0,11/20/15,0.905
15156770,"2179 Quesada Ave, San Francisco, CA",37738219,-122400582,False,,1.0,,2495.0,sqft,1900.0,12/17/15,0.22
15156830,"250 Bayview Cir, San Francisco, CA",37734490,-122396289,False,2.0,2.0,1301.0,1845.0,sqft,1986.0,12/8/15,0.765
15157040,"1939 Quesada Ave, San Francisco, CA",37735715,-122396123,False,2.0,1.5,875.0,2831.0,sqft,1947.0,11/13/15,0.705
15157054,"19 Bridgeview Dr, San Francisco, CA",37734200,-122394079,False,3.0,2.0,1092.0,2062.0,sqft,1944.0,12/31/15,0.64
15157208,"1574 Shafter Ave, San Francisco, CA",37730968,-122390069,False,,1.0,1422.0,2495.0,sqft,1921.0,12/18/15,0.4
15157264,"1731-1733 Revere Ave, San Francisco, CA",37732919,-122392787,False,,1.0,800.0,1500.0,sqft,1908.0,12/11/15,0.553
15157891,"61 Waterville St, San Francisco, CA",37735270,-122402488,False,,7.0,1734.0,2495.0,sqft,1912.0,12/22/15,0.768
15157943,"15 Scotia Ave, San Francisco, CA",37734337,-122401708,False,3.0,2.0,1482.0,2417.0,sqft,1936.0,11/16/15,0.868
15158058,"2015 Thomas Ave, San Francisco, CA",37734273,-122398821,False,3.0,1.0,1512.0,2796.0,sqft,1941.0,12/4/15,0.75
15158124,"2058 Thomas Ave, San Francisco, CA",37735148,-122399495,False,2.0,1.0,1222.0,1972.0,sqft,1941.0,12/4/15,0.6
15158253,"1554 Van Dyke Ave, San Francisco, CA",37728891,-122391405,False,,1.0,1375.0,2495.0,sqft,1939.0,12/21/15,0.7
15158905,"28 Williams Ave, San Francisco, CA",37729497,-122393183,False,2.0,2.0,1250.0,1250.0,sqft,1930.0,1/3/16,0.66
15159016,"2076 Carroll Ave, San Francisco, CA",37730201,-122402046,False,,1.0,735.0,2495.0,sqft,1908.0,12/17/15,0.197
15159044,"2091 Bancroft Ave, San Francisco, CA",37730545,-122402057,False,4.0,3.0,2350.0,2613.0,sqft,1992.0,11/19/15,0.86
15159610,"3455 Keith St, San Francisco, CA",37719522,-122397995,False,,1.0,1125.0,1925.0,sqft,1924.0,12/16/15,0.403
15159823,"630 Precita Ave, San Francisco, CA",37747591,-122408740,False,3.0,1.0,1675.0,3750.0,sqft,1905.0,11/19/15,1.08
15159831,"684 Precita Ave, San Francisco, CA",37747997,-122407987,False,4.0,3.0,2459.0,2495.0,sqft,1913.0,12/7/15,1.71
15159837,"1650-1652 Florida St, San Francisco, CA",37746900,-122409305,False,,2.0,2312.0,3125.0,sqft,1904.0,12/1/15,0.97
15159894,"51 Mirabel Ave, San Francisco, CA",37746731,-122416518,False,2.0,1.0,875.0,3197.0,sqft,1900.0,12/8/15,1.32
15159949,"256-258 Precita Ave, San Francisco, CA",37747136,-122414649,False,,2.0,1700.0,1873.0,sqft,1910.0,11/30/15,0.85
15160348,"249 Mullen Ave, San Francisco, CA",37746969,-122407362,False,2.0,2.0,1275.0,1746.0,sqft,1907.0,12/18/15,1.02
15160369,"123 Peralta Ave, San Francisco, CA",37747171,-122407400,False,2.0,1.0,800.0,1750.0,sqft,1908.0,11/23/15,1.22
15160509,"233 Franconia St, San Francisco, CA",37745780,-122407425,False,3.0,,1594.0,4253.0,sqft,1964.0,12/15/15,1.59
15161351,"157 Winfield St, San Francisco, CA",37742237,-122418547,True,,,1375.0,1742.0,sqft,1907.0,12/18/15,1.15
15161389,"199 Elsie St, San Francisco, CA",37741023,-122418609,False,,1.0,1010.0,1393.0,sqft,1931.0,12/16/15,0.9
15161653,"79 Bradford St, San Francisco, CA",37741748,-122409262,False,2.0,2.0,900.0,1751.0,sqft,1933.0,12/2/15,0.875
15161660,"73 Carver St, San Francisco, CA",37742053,-122409855,False,3.0,2.0,1325.0,1750.0,sqft,1951.0,11/30/15,1.52
